Asignatura	Tema	Termino	Concepto
Fisica	Electromagnetismo	Campo eléctrico	Región del espacio alrededor de una carga eléctrica donde actúa una fuerza eléctrica sobre otras cargas.
Fisica	Electromagnetismo	Ley de Ampère	Relación matemática que describe la circulación de un campo magnético alrededor de un conductor por el cual fluye una corriente eléctrica.
Fisica	Electromagnetismo	Ley de Faraday	Principio que establece que un cambio en el flujo magnético a través de una espira induce una fuerza electromotriz (EMF) en la espira.
Fisica	Electromagnetismo	Bobina	Dispositivo formado por varias vueltas de alambre conductor, utilizado para generar un campo magnético o para inducir corriente.
Fisica	Electromagnetismo	Ley de Gauss	Principio que relaciona el flujo magnético a través de una superficie cerrada con la suma de las corrientes magnéticas que la atraviesan.
Fisica	Electromagnetismo	Ley de Gauss	Principio que relaciona el flujo magnético a través de una superficie cerrada con la suma de las corrientes magnéticas que la atraviesan.
Fisica	Óptica	Luz	Radiación electromagnética visible por el ojo humano, que se propaga en forma de ondas.
Fisica	Óptica	Reflexión	Cambio en la dirección de propagación de la luz al pasar de un medio a otro con diferente índice de refracción.
Fisica	Óptica	Refracción	Cambio de dirección de un rayo de luz cuando incide sobre una superficie.
Fisica	Óptica	Prisma	Objeto óptico transparente con superficies planas que separa la luz en sus componentes de diferentes longitudes de onda.
Ciencias naturales	Genética	Ecosistema	Sistema formado por seres vivos y su entorno físico, donde interactúan entre sí y con el ambiente.
Ciencias naturales	Genética	Cadena alimentaria	Serie de organismos interconectados, donde cada uno se alimenta del anterior y es alimento para el siguiente.
